Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000092	Av_00005801-RA	FUN_017453-T1, FUN_018071-T1, FUN_014526-T1, FUN_014403-T1, FUN_013990-T1, FUN_013969-T1, FUN_013954-T1, FUN_015384-T1, FUN_015430-T1, FUN_013996-T1, FUN_013963-T1, FUN_013953-T1, FUN_015382-T1, FUN_015274-T1, FUN_015383-T1, FUN_015371-T1, FUN_015369-T1, FUN_015368-T1, FUN_013968-T1
OG0000093	Av_00009079-RA, Av_00009080-RA	FUN_023486-T1
OG0000093	Av_00008996-RA, Av_00019964-RA, Av_00006037-RA	FUN_015864-T1, FUN_007588-T1
OG0000095	Av_00016560-RA	FUN_053310-T2, FUN_053310-T1
OG0000095	Av_00022745-RA, Av_00014819-RA	FUN_053071-T1, FUN_053071-T3, FUN_053071-T2, FUN_053071-T4
OG0000095	Av_00015892-RA, Av_00013399-RA	FUN_053289-T2, FUN_053289-T1
OG0000096	Av_00015889-RA	FUN_004754-T1, FUN_031243-T1, FUN_031242-T1, FUN_045233-T1, FUN_032549-T1, FUN_031248-T1, FUN_031250-T1
OG0000097	Av_00021109-RA	FUN_008459-T1, FUN_001750-T1, FUN_014137-T1, FUN_011797-T1, FUN_023814-T1
OG0000098	Av_00009967-RA	FUN_024139-T1
OG0000098	Av_00020288-RA, Av_00020594-RA, Av_00006724-RA, Av_00013130-RA, Av_00020473-RA, Av_00003512-RA	FUN_036291-T1
OG0000098	Av_00006162-RA, Av_00008431-RA	FUN_048014-T1
OG0000098	Av_00010415-RA, Av_00005476-RA, Av_00018555-RA, Av_00023364-RA	FUN_040838-T1
OG0000099	Av_00015329-RA, Av_00014232-RA	FUN_007844-T1, FUN_007845-T1
OG0000102	Av_00021401-RA	FUN_043426-T1
OG0000102	Av_00014100-RA, Av_00014101-RA, Av_00010561-RA, Av_00025037-RA, Av_00025035-RA	FUN_036782-T1, FUN_036783-T1
OG0000103	Av_00007835-RA, Av_00000217-RA	FUN_046694-T1, FUN_046694-T2, FUN_011723-T1, FUN_046785-T1
OG0000104	Av_00018015-RA	FUN_020265-T1
OG0000104	Av_00015686-RA	FUN_022997-T1
OG0000105	Av_00003052-RA, Av_00015716-RA	FUN_046429-T1, FUN_046432-T1
OG0000105	Av_00015656-RA, Av_00022221-RA, Av_00020946-RA	FUN_039134-T1
OG0000107	Av_00000247-RA, Av_00006353-RA	FUN_020121-T2, FUN_020121-T1
OG0000107	Av_00007784-RA	FUN_033480-T2, FUN_033480-T1, FUN_020090-T1
OG0000108	Av_00010829-RA, Av_00005367-RA	FUN_005434-T3, FUN_005434-T2, FUN_005434-T1, FUN_005432-T1, FUN_013601-T2, FUN_013601-T3, FUN_013601-T1
OG0000108	Av_00003730-RA	FUN_034902-T1
OG0000109	Av_00018758-RA, Av_00008820-RA	FUN_050760-T1, FUN_002160-T1, FUN_002160-T2
OG0000109	Av_00021187-RA, Av_00001943-RA	FUN_031066-T1, FUN_025571-T1
OG0000109	Av_00011101-RA, Av_00009901-RA	FUN_038539-T1
OG0000110	Av_00020501-RA, Av_00008377-RA	FUN_020206-T1
OG0000110	Av_00008370-RA, Av_00008371-RA	FUN_043352-T1, FUN_027217-T1
OG0000112	Av_00024331-RA, Av_00015178-RA, Av_00022110-RA, Av_00024955-RA, Av_00024581-RA, Av_00024710-RA, Av_00023696-RA, Av_00018536-RA, Av_00021762-RA, Av_00024954-RA, Av_00024992-RA, Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA, Av_00018535-RA	FUN_048674-T1
OG0000112	Av_00022329-RA, Av_00022327-RA, Av_00022328-RA	FUN_009885-T1
OG0000113	Av_00006065-RA, Av_00014534-RA, Av_00018581-RA	FUN_040152-T1, FUN_040153-T1
OG0000113	Av_00014535-RA, Av_00010366-RA, Av_00003020-RA, Av_00005449-RA	FUN_040158-T1, FUN_040160-T1, FUN_040163-T1, FUN_040162-T1
OG0000114	Av_00003668-RA, Av_00015326-RA	FUN_008529-T1, FUN_008532-T1, FUN_008538-T1, FUN_008540-T1, FUN_035476-T1, FUN_035471-T1, FUN_035477-T1, FUN_035473-T1, FUN_035478-T2, FUN_035478-T1, FUN_035478-T3, FUN_046590-T1, FUN_046591-T1, FUN_021823-T2, FUN_021823-T1, FUN_030024-T1, FUN_027385-T1
OG0000115	Av_00020585-RA	FUN_033974-T3, FUN_033974-T2, FUN_033974-T1, FUN_016159-T1
OG0000115	Av_00020146-RA	FUN_044854-T1, FUN_044847-T1, FUN_044852-T1, FUN_044855-T1, FUN_044853-T1, FUN_044851-T1, FUN_004395-T1, FUN_004390-T1
OG0000116	Av_00016395-RA, Av_00017765-RA, Av_00007169-RA, Av_00013351-RA, Av_00012531-RA, Av_00009763-RA, Av_00002841-RA, Av_00013418-RA	FUN_011257-T1
OG0000118	Av_00017242-RA	FUN_037349-T1
