Orthogroup	A_coerulea.proteins	G_max.proteins
OG0000048	Aqcoe1G403600.1.p, Aqcoe1G404000.1.p, Aqcoe1G404200.1.p, Aqcoe1G403900.2.p, Aqcoe1G403900.1.p, Aqcoe1G404100.1.p, Aqcoe1G403700.1.p	GmISU01.18G048900.1.p, GmISU01.18G159300.1.p, GmISU01.09G232500.1.p, GmISU01.01G099400.1.p, GmISU01.03G035000.1.p, GmISU01.03G035300.1.p, GmISU01.03G035100.1.p, GmISU01.01G099300.1.p, GmISU01.03G035200.1.p, GmISU01.01G100900.1.p, GmISU01.03G031850.1.p, GmISU01.01G099200.1.p
OG0000048	Aqcoe1G056300.1.p	GmISU01.08G149600.1.p, GmISU01.15G220200.1.p
OG0000049	Aqcoe5G111200.1.p, Aqcoe2G242900.1.p, Aqcoe4G190900.1.p	GmISU01.14G092500.1.p
OG0000049	Aqcoe7G201400.1.p, Aqcoe1G106600.1.p	GmISU01.10G088100.1.p, GmISU01.15G161800.1.p
OG0000050	Aqcoe4G238500.1.p, Aqcoe2G034000.1.p, Aqcoe4G097200.1.p, Aqcoe7G153100.1.p, Aqcoe4G116300.1.p, Aqcoe1G247100.1.p	GmISU01.15G184350.1.p
OG0000051	Aqcoe6G282400.1.p	GmISU01.20G155800.1.p
OG0000052	Aqcoe1G062600.1.p	GmISU01.15G204300.1.p
OG0000055	Aqcoe5G345500.2.p, Aqcoe5G345500.1.p	GmISU01.20G206500.3.p, GmISU01.20G206500.2.p, GmISU01.20G206500.1.p, GmISU01.10G254500.3.p, GmISU01.10G254500.2.p
OG0000055	Aqcoe5G081700.1.p	GmISU01.13G183300.2.p, GmISU01.13G183300.1.p, GmISU01.15G089700.1.p
OG0000055	Aqcoe2G168800.1.p	GmISU01.11G132900.1.p
OG0000055	Aqcoe5G007800.1.p, Aqcoe5G007800.2.p	GmISU01.08G317200.1.p, GmISU01.18G129400.1.p
